
山名	よみかた	標高	所在地	ツアー
30	谷川岳	たにがわだけ	1977m	新潟県・群馬県	谷川岳のツアーを探す
31	雨飾山	あまかざりやま	1963m	長野県・新潟県	雨飾山のツアーを探す
32	苗場山	なえばさん	2145m	新潟県・長野県	苗場山のツアーを探す
33	妙高山	みょうこうさん	2454m	新潟県	妙高山のツアーを探す
34	火打山	ひうちやま	2462m	新潟県	火打山のツアーを探す
35	高妻山	たかつまやま	2353m	新潟県・長野県	高妻山のツアーを探す
36	男体山	なんたいさん	2484m	栃木県	男体山のツアーを探す
37	日光白根山	にっこうしらねさん	2578m	栃木県・群馬県	日光白根山のツアーを探す
38	皇海山	すかいさん	2144m	栃木県・群馬県	皇海山のツアーを探す
39	武尊山	ほたかやま	2158m	群馬県	武尊山のツアーを探す
40	赤城山	あかぎやま	1828m	群馬県	赤城山のツアーを探す
41	草津白根山	くさつしらねさん	2171m	群馬県	草津白根山のツアーを探す
42	四阿山	あづまやさん	2354m	長野県・群馬県	四阿山のツアーを探す
43	浅間山	あさまやま	2568m	群馬県・長野県	浅間山のツアーを探す
44	筑波山	つくばさん	877m	茨城県	筑波山のツアーを探す
45	白馬岳	しろうまだけ	2932m	富山県・長野県	白馬岳のツアーを探す
46	五竜岳	ごりゅうだけ	2814m	富山県・長野県	五竜岳のツアーを探す
47	鹿島槍ヶ岳	かしまやりがたけ	2889m	富山県・長野県	鹿島槍ヶ岳のツアーを探す
48	剱岳	つるぎだけ	2999m	富山県	剱岳のツアーを探す
49	立山	たてやま	3003m	富山県	立山のツアーを探す
50	薬師岳	やくしだけ	2926m	富山県	薬師岳のツアーを探す
51	黒部五郎岳	くろべごろうだけ	2840m	富山県・岐阜県	黒部五郎岳のツアーを探す
52	水晶岳	すいしょうだけ	2986m	富山県	水晶岳のツアーを探す
53	鷲羽岳	わしばだけ	2924m	富山県・長野県	鷲羽岳のツアーを探す
54	槍ヶ岳	やりがたけ	3180m	長野県・岐阜県	槍ヶ岳のツアーを探す
55	奥穂高岳	おくほたかだけ	3190m	長野県・岐阜県	奥穂高岳のツアーを探す
56	常念岳	じょうねんだけ	2857m	長野県	常念岳のツアーを探す
57	笠ヶ岳	かさがたけ	2897m	岐阜県	笠ヶ岳のツアーを探す
58	焼岳	やけだけ	2455m	長野県・岐阜県	焼岳のツアーを探す
59	乗鞍岳	のりくらだけ	3026m	長野県・岐阜県	乗鞍岳のツアーを探す
60	御嶽山	おんたけさん	3067m	長野県	御嶽山のツアーを探す
61	美ヶ原	うつくしがはら	2034m	長野県	美ヶ原のツアーを探す
62	霧ヶ峰	きりがみね	1925m	長野県	霧ヶ峰のツアーを探す
63	蓼科山	たてしなやま	2530m	長野県	蓼科山のツアーを探す
64	八ヶ岳/赤岳	やつがたけ/あかだけ	2899m	長野県・山梨県	八ヶ岳のツアーを探す
65	両神山	りょうがみさん	1723m	埼玉県	両神山のツアーを探す
66	雲取山	くもとりやま	1727m	東京都・埼玉県	雲取山のツアーを探す
67	甲武信ヶ岳	こぶしがたけ	2475m	山梨県・埼玉県・長野県	甲武信ヶ岳のツアーを探す
68	金峰山	きんぷさん	2599m	山梨県・長野県	金峰山のツアーを探す
69	瑞牆山	みずがきさん	2230m	山梨県	瑞牆山のツアーを探す
70	大菩薩嶺	だいぼさつれい	2057m	山梨県	大菩薩嶺のツアーを探す
71	丹沢山	たんざわさん	1673m	神奈川県	丹沢山のツアーを探す
72	富士山	ふじさん	3776m	山梨県・静岡県	富士山のツアーを探す
73	天城山	あまぎさん	1406m	静岡県	天城山のツアーを探す
74	木曽駒ヶ岳	きそこまがたけ	2956m	長野県	木曽駒ヶ岳のツアーを探す
75	空木岳	うつぎだけ	2864m	長野県	空木岳のツアーを探す
76	恵那山	えなさん	2191m	長野県・岐阜県	恵那山のツアーを探す
77	甲斐駒ヶ岳	かいこまがたけ	2967m	山梨県・長野県	甲斐駒ヶ岳のツアーを探す
78	仙丈ヶ岳	せんじょうがたけ	3033m	長野県・山梨県	仙丈ヶ岳のツアーを探す
79	鳳凰山	ほうおうざん	2840m	山梨県	鳳凰山のツアーを探す
80	北岳	きただけ	3193m	山梨県	北岳のツアーを探す
81	間ノ岳	あいのだけ	3189m	山梨県・静岡県	間ノ岳のツアーを探す
82	塩見岳	しおみだけ	3052m	長野県・静岡県	塩見岳のツアーを探す
83	悪沢岳	わるさわだけ	3141m	静岡県	悪沢岳のツアーを探す
84	赤石岳	あかいしだけ	3120m	長野県・静岡県	赤石岳のツアーを探す
85	聖岳	ひじりだけ	3013m	長野県・静岡県	聖岳のツアーを探す
86	光岳	てかりだけ	2591m	長野県・静岡県	光岳のツアーを探す
87	白山	はくさん	2702m	石川県・岐阜県	白山のツアーを探す
88	荒島岳	あらしまだけ	1524m	福井県	荒島岳のツアーを探す
89	伊吹山	いぶきやま	1377m	滋賀県	伊吹山のツアーを探す
90	大台ヶ原山	おおだいがはらやま	1695m	奈良県・三重県	大台ヶ原山のツアーを探す
91	大峰山	おおみねさん	1915m	奈良県	大峰山のツアーを探す
92	大山	だいせん	1729m	鳥取県	大山のツアーを探す
93	剣山	つるぎさん	1955m	徳島県	剣山のツアーを探す
94	石鎚山	いしづちさん	1982m	愛媛県	石鎚山のツアーを探す
95	九重山	くじゅうさん	1791m	大分県	九重山のツアーを探す
96	祖母山	そぼさん	1756m	大分県・宮崎県	祖母山のツアーを探す
97	阿蘇山	あそさん	1592m	熊本県	阿蘇山のツアーを探す
98	霧島山	きりしまやま	1700m	宮崎県・鹿児島県	霧島山のツアーを探す
99	開聞岳	かいもんだけ	924m	鹿児島県	開聞岳のツアーを探す
100	宮之浦岳	みやのうらだけ	1936m	鹿児島県	宮之浦岳のツアーを探す
